Rank,Adventure's_Score,Song,Artist,Stream_Count,Record_Label
1,98.5,BADsGUY,BILLIEsEILISH,24787525,DARKROOM/INTERSCOPE
2,98.5,OLDsTOWNsROAD,LILsNASsX,22015584,COLUMBIA
3,96,SENORITA,SHAWNsMENDESs&sCAMILAsCABELLO,20183601,ISLAND
4,95.5,IsDON'TsCARE,EDsSHEERANs&sJUSTINsBIEBER,18175071,ATLANTIC/DEFsJAM
5,95,GOODBYES,POSTsMALONEsFEAT.sYOUNGsTHUG,21163423,REPUBLIC
6,93.5,TRUTHsHURTS,LIZZO,17433167,NICEsLIFE/ATLANTIC
7,91.5,MONEYsINsTHEsGRAVE,DRAKEsFEAT.sRICKsROSS,18496547,OVO/REPUBLIC
8,90.5,SUNFLOWER,POSTsMALONEs&sSWAEsLEE,15513398,REPUBLIC
9,89.5,NOsGUIDANCE,CHRISsBROWNsFEAT.sDRAKE,15194930,RCA
10,89.5,TALK,KHALID,11983725,RIGHTsHANDsMUSIC/RCA
11,87.5,SUGE,DABABY,14208149,INTERSCOPE
12,84.5,BEAUTIFULsPEOPLE,EDsSHEERANsFEAT.sKHALID,14500585,ATLANTIC
13,84,RANSOM,LILsTECCA,15778669,REPUBLIC
14,83,SUCKER,JONASsBROTHERS,8376691,REPUBLIC
15,83,WOW.,POSTsMALONE,9803093,REPUBLIC
16,81.5,PANINI,LILsNASsX,16041656,COLUMBIA
17,81.5,POPsOUT,POLOsGsFEAT.sLILsTJAY,13051262,COLUMBIA
18,81.5,YOUsNEEDsTOsCALMsDOWN,TAYLORsSWIFT,8861806,REPUBLIC
19,78.5,CROSSsME,EDsSHEERANsFEAT.sCHANCEsTHEsRAPPERs&sPNBsROCK,11182429,ATLANTIC
20,77.5,THEsLONDON,YOUNGsTHUGsFEAT.sJ.sCOLEs&sTRAVISsSCOTT,11777129,ATLANTIC
21,75,ANTISOCIAL,EDsSHEERANsFEAT.sTRAVISsSCOTT,14445023,ATLANTIC
22,75,IFsIsCAN'TsHAVEsYOU,SHAWNsMENDES,7362590,ISLAND
23,74,GOD'SsCOUNTRY,BLAKEsSHELTON,7584461,WARNERsNASHVILLE
24,73,SOMEONEsYOUsLOVED,LEWISsCAPALDI,7745373,VERTIGOsBERLIN/CAPITOL
25,71.5,THEsGITsUP,BLANCOsBROWN,7312048,BROKENsBOW
26,70.5,SHOTTAsFLOW,NLEsCHOPPA,8791088,NOsLOVE
27,68,MIDDLEsCHILD,J.sCOLE,8763294,ROCsNATION/INTERSCOPE
28,67,BEERsNEVERsBROKEsMYsHEART,LUKEsCOMBS,7211765,RIVERsHOUSE/COLUMBIAsNASHVILLE
29,66.5,WHISKEYsGLASSES,MORGANsWALLEN,7509752,BIGsLOUD
30,65.5,WITHOUTsME,HALSEY,6649575,CAPITOL
31,64,SOUTHsOFsTHEsBORDER,EDsSHEERANsFEAT.sCAMILAsCABELLOs&sCARDIsB,10806938,ATLANTIC
32,62,7sRINGS,ARIANAsGRANDE,6919375,REPUBLIC
33,59.5,NEVERsREALLYsOVER,KATYsPERRY,6626765,CAPITOL
34,59.5,RODEO,LILsNASsXs&sCARDIsB,9423235,COLUMBIA
35,59,REMEMBERsTHEsNAME,EDsSHEERANsFEATsEMINEMs&s50sCENT,8722092,ATLANTIC
36,57.5,GOINGsBAD,MEEKsMILLsFEAT.sDRAKE,7201562,ATLANTIC
37,57.5,PUREsWATER,MUSTARDs&sMIGOS,7222649,10sSUMMERS/INTERSCOPE
38,52.5,EARFQUAKE,TYLERsTHEsCREATOR,7593173,COLUMBIA
39,49.5,IT'SsYOU,ALIsGATIE,7801436,WARNER
40,44.5,UNDERsTHEsSUN,DREAMVILLEsFEAT.sJ.sCOLEsLUTEs&sDABABY,6997960,DREAMVILLE/ROCsNATION/INTERSCOPE
41,44,LALALA,Y2Ks&sBBNO$,7444172,COLUMBIA
42,42.5,CALLsYOUsMINE,CHAINSMOKERSs&sBEBEsREXHA,6742227,DISRUPTOR/COLUMBIA
43,38,BAGUETTESsINsTHEsFACE,MUSTARDsFEAT.sNAVsPLAYBOIsCARTIs&sAsBOOGIEsWITsDAsHOODIE,7483561,10sSUMMERS/INTERSCOPE
44,34,ONEsTHINGsRIGHT,MARSHMELLOs&sKANEsBROWN,6616343,JOYTIMEsCOLLECTIVE/RCAsNASHVILLE
45,30.5,SANGUINEsPARADISE,LILsUZIsVERT,7105382,GENERATIONsNOW/ATLANTIC
